Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,23566,2023-11-14,0.1265877545,0.0323191913,0.0310542697,21,100
Market-Adjusted Model,23567,2023-11-14,0.0686375945,-0.025135455,-0.02689589,21,100
Market-Adjusted Model,23568,2023-11-14,0.2113821297,0.1051905093,0.1158486449,21,100
Market-Adjusted Model,23569,2023-11-14,0.2375386759,0.1265187664,0.1420051911,21,100
Market-Adjusted Model,23570,2023-11-14,0.0718695742,-0.017437383,-0.02366391,21,100
Market-Adjusted Model,23571,2023-11-14,0.0203178326,-0.071870401,-0.075215652,21,100
Market-Adjusted Model,23572,2023-11-14,0.0810747425,-0.013451926,-0.014458742,21,100
Market-Adjusted Model,23573,2023-11-14,0.0835953645,-0.01114335,-0.01193812,21,100
Market-Adjusted Model,23574,2023-11-14,0.0041759162,-0.087841846,-0.091357569,21,100
Market-Adjusted Model,23575,2023-11-14,0.1249999978,0.0284345492,0.0294665131,21,100
Market-Adjusted Model,23576,2023-11-14,0.0758795707,-0.018076477,-0.019653914,21,100
Market-Adjusted Model,23577,2023-11-14,0.0860361767,-0.008736769,-0.009497308,21,100
Market-Adjusted Model,23578,2023-11-14,0.1155172181,0.0182335069,0.0199837334,21,100
Market-Adjusted Model,23579,2023-11-14,-0.01279685,-0.103653876,-0.108330335,21,100
Market-Adjusted Model,23581,2023-11-14,0.0116880527,-0.08038387,-0.083845432,21,100
Market-Adjusted Model,23582,2023-11-14,0.0159725585,-0.076139104,-0.079560926,21,100
Market-Adjusted Model,23583,2023-11-14,0.0499112742,-0.043155435,-0.04562221,21,100
Market-Adjusted Model,23584,2023-11-14,0.0423164852,-0.05038754,-0.053216999,21,100
Market-Adjusted Model,23585,2023-11-14,0.1508773541,0.0502815829,0.0553438693,21,100
Market-Adjusted Model,23586,2023-11-14,0.0764474552,-0.017325052,-0.019086029,21,100
Market-Adjusted Model,23589,2023-11-14,-0.00368129,-0.095606569,-0.099214775,21,100
Market-Adjusted Model,23590,2023-11-14,0.094644965,0.0009642119,-0.00088852,21,100
Market-Adjusted Model,23591,2023-11-14,0.1038641802,0.0078503115,0.0083306955,21,100
Market-Adjusted Model,23592,2023-11-14,0.0620401441,-0.031515142,-0.033493341,21,100
Market-Adjusted Model,23593,2023-11-14,0.0680705641,-0.025590721,-0.027462921,21,100
Market-Adjusted Model,23594,2023-11-14,0.132237022,0.0332685773,0.0367035373,21,100
Market-Adjusted Model,23597,2023-11-14,-0.010077617,-0.099747456,-0.105611101,21,100
Market-Adjusted Model,23598,2023-11-14,0.0032495301,-0.088146307,-0.092283955,21,100
Market-Adjusted Model,23599,2023-11-14,0.0450587715,-0.047463147,-0.050474713,21,100
Market-Adjusted Model,23600,2023-11-14,0.0161378946,-0.075370903,-0.07939559,21,100
Market-Adjusted Model,23601,2023-11-14,0.0390742402,-0.050313862,-0.056459245,21,100
Market-Adjusted Model,23603,2023-11-14,0.1235977078,0.0263446744,0.0280642231,21,100
Market-Adjusted Model,23604,2023-11-14,0.0599820339,-0.033301057,-0.035551451,21,100
Market-Adjusted Model,23605,2023-11-14,0.0833809601,-0.011138939,-0.012152525,21,100
Market-Adjusted Model,23606,2023-11-14,0.0017324369,-0.08896154,-0.093801048,21,100
Market-Adjusted Model,23607,2023-11-14,0.0559167611,-0.037034177,-0.039616724,21,100
Market-Adjusted Model,23608,2023-11-14,0.1288371782,0.0302486012,0.0333036935,21,100
Market-Adjusted Model,23610,2023-11-14,0.0739645174,0.0414506581,-0.021568967,21,100
Market-Adjusted Model,23611,2023-11-14,-0.280898881,-0.398628578,-0.376432366,21,100
Market-Adjusted Model,23612,2023-11-14,-0.18791214,-0.278741047,-0.283445625,21,100
Market-Adjusted Model,23613,2023-11-14,-0.034941803,-0.108241292,-0.130475287,21,100
Market-Adjusted Model,23614,2023-11-14,0.1059570372,0.0099092736,0.0104235525,21,100
Market-Adjusted Model,23615,2023-11-14,0.1095040665,0.0265214106,0.0139705818,21,100
Market-Adjusted Model,23617,2023-11-14,-0.26315789,-0.35972531,-0.358691374,21,100
Market-Adjusted Model,23618,2023-11-14,0.0141509073,-0.077834708,-0.081382577,21,100
Market-Adjusted Model,23619,2023-11-14,0.1401839773,0.0435219852,0.0446504926,21,100
Market-Adjusted Model,23620,2023-11-14,-0.002819613,-0.094827168,-0.098353098,21,100
Market-Adjusted Model,23621,2023-11-14,0.0920008498,-0.002531996,-0.003532635,21,100
Market-Adjusted Model,23622,2023-11-14,-0.027202318,-0.072536374,-0.122735803,21,100
